source_file,month,year,record_type,day,max_wind_speed_mph,avg_wind_speed_mph,avg_wind_dir_deg,solar_rad_mj_m2,max_air_temp_f,min_air_temp_f,avg_air_temp_f,rel_hum_max_pct,rel_hum_min_pct,dew_point_f,total_precip_in,total_evap_in,soil_under_sod_4in_max_f,soil_under_sod_4in_min_f,soil_under_sod_4in_avg_f,soil_under_sod_8in_max_f,soil_under_sod_8in_min_f,soil_under_sod_8in_avg_f,soil_bare_4in_max_f,soil_bare_4in_min_f,soil_bare_4in_avg_f,soil_bare_2in_max_f,soil_bare_2in_min_f,soil_bare_2in_avg_f
July_precipitation.asp.html,July,2025,daily,1,18.6,7.4,288.8,29.3,85.0,64.2,75.8,100.0,49.6,66.9,0.0,0.25,86.7,76.6,81.2,79.4,76.2,77.9,94.0,80.8,87.1,102.2,76.0,87.7
July_precipitation.asp.html,July,2025,daily,2,13.9,4.5,285.2,27.5,87.1,59.8,75.3,100.0,45.4,66.1,0.0,0.24,86.6,73.7,80.0,79.1,74.8,77.1,93.8,78.1,85.9,102.9,72.2,86.5
July_precipitation.asp.html,July,2025,daily,3,11.3,1.9,237.1,27.0,90.1,64.0,78.2,100.0,42.0,68.0,0.0,0.23,88.5,74.6,81.5,80.1,75.3,77.7,95.2,79.1,87.2,104.3,73.9,88.4
July_precipitation.asp.html,July,2025,daily,4,14.6,4.9,171.1,27.1,92.3,63.4,79.0,100.0,41.5,69.5,0.0,0.25,89.1,75.7,82.1,80.6,76.0,78.4,95.8,80.1,87.7,106.1,74.9,88.9
July_precipitation.asp.html,July,2025,daily,5,20.4,8.5,187.7,29.6,92.1,66.8,80.1,99.9,45.4,70.4,0.0,0.27,88.2,76.4,82.0,80.7,76.5,78.7,94.8,80.7,87.7,104.5,76.0,89.0
July_precipitation.asp.html,July,2025,daily,6,38.9,8.8,234.4,21.3,89.8,71.1,79.5,100.0,61.6,73.4,0.96,0.19,86.8,77.8,81.6,80.4,77.2,78.7,92.6,82.0,86.2,101.1,77.2,86.4
July_precipitation.asp.html,July,2025,daily,7,15.6,6.5,52.6,26.5,83.2,67.1,74.2,100.0,53.0,68.1,0.0,0.21,87.5,76.4,81.2,79.8,76.5,78.2,89.1,78.1,82.9,95.3,73.3,82.0
July_precipitation.asp.html,July,2025,daily,8,17.4,5.2,167.2,23.2,86.0,63.0,74.3,100.0,55.1,68.8,0.14,0.19,85.4,74.6,79.7,79.1,75.4,77.4,91.2,75.1,82.4,100.0,68.8,82.2
July_precipitation.asp.html,July,2025,daily,9,13.5,2.8,285.2,26.9,85.4,67.4,76.0,100.0,61.3,71.4,0.0,0.22,88.8,75.2,81.7,80.6,75.7,78.1,92.6,76.8,84.2,101.8,71.8,85.0
July_precipitation.asp.html,July,2025,daily,10,15.9,4.3,236.9,27.0,88.4,65.6,77.7,100.0,57.5,72.1,0.0,0.17,88.8,75.9,82.2,81.0,76.4,78.8,94.6,77.8,86.1,105.1,72.4,87.6
July_precipitation.asp.html,July,2025,daily,11,19.6,9.2,188.8,26.2,90.5,71.5,80.9,99.1,56.8,74.3,0.0,0.24,88.5,77.7,82.7,81.0,77.3,79.2,95.5,80.6,87.7,105.1,76.3,89.1
July_precipitation.asp.html,July,2025,daily,12,17.2,5.3,276.4,17.8,80.8,67.7,74.1,100.0,73.3,70.7,0.14,0.14,84.5,77.5,80.8,80.1,77.5,78.7,87.4,80.3,84.3,90.9,74.7,82.4
July_precipitation.asp.html,July,2025,daily,13,18.0,2.3,163.7,8.4,81.5,66.9,72.9,100.0,74.0,71.6,0.25,0.07,80.5,75.2,77.8,78.4,75.9,76.8,82.4,76.9,79.3,86.9,71.7,76.9
July_precipitation.asp.html,July,2025,daily,14,10.6,2.5,118.5,19.8,86.5,65.7,75.5,100.0,57.6,71.0,0.0,0.17,86.4,73.7,79.7,78.7,74.3,76.4,86.0,74.4,80.1,91.0,69.6,79.8
July_precipitation.asp.html,July,2025,daily,15,16.4,5.2,141.8,20.7,87.7,69.6,77.4,100.0,63.5,74.7,0.07,0.17,88.4,75.9,81.3,79.8,75.7,77.7,89.4,76.2,82.1,99.2,71.4,81.9
July_precipitation.asp.html,July,2025,daily,16,30.3,7.6,203.7,20.1,88.9,70.9,76.1,100.0,68.0,74.1,0.22,0.16,88.8,77.5,81.5,80.5,76.7,78.5,92.2,78.1,83.1,102.9,73.5,82.4
July_precipitation.asp.html,July,2025,daily,17,19.7,4.7,141.3,20.2,85.0,68.0,75.5,100.0,67.8,72.2,0.04,0.17,89.8,76.6,82.0,80.9,76.4,78.6,89.0,77.6,82.2,99.3,72.8,81.7
July_precipitation.asp.html,July,2025,daily,18,15.3,4.4,129.0,23.9,84.8,65.9,74.3,100.0,64.6,69.3,0.0,0.2,90.0,76.2,82.3,80.9,76.5,78.7,91.1,75.1,82.6,103.7,69.9,83.8
July_precipitation.asp.html,July,2025,daily,19,24.8,7.4,190.8,11.3,81.7,69.6,74.8,100.0,78.9,73.5,0.2,0.08,81.6,78.1,79.5,79.9,76.9,77.7,83.4,78.9,80.5,83.9,74.6,78.2
July_precipitation.asp.html,July,2025,daily,20,14.8,4.2,106.8,10.7,83.6,72.2,76.3,100.0,76.4,74.5,0.18,0.09,82.1,76.3,78.6,77.5,75.4,76.4,82.9,77.0,79.3,85.6,73.5,78.1
July_precipitation.asp.html,July,2025,daily,21,11.6,3.6,96.9,11.7,82.2,71.3,76.7,100.0,79.6,74.9,0.02,0.1,83.2,77.4,80.1,78.3,76.0,77.1,83.3,77.9,80.4,86.6,73.5,79.3
July_precipitation.asp.html,July,2025,daily,22,16.8,6.5,111.7,25.6,85.9,68.7,77.0,100.0,75.2,73.7,0.0,0.21,86.7,75.7,80.9,79.5,75.5,77.5,89.4,75.6,82.1,99.8,70.6,83.4
July_precipitation.asp.html,July,2025,daily,23,19.1,8.2,161.5,27.0,91.6,71.1,80.7,100.0,73.0,78.0,0.05,0.22,89.3,77.2,82.7,80.8,76.6,78.6,93.2,78.4,85.1,105.6,68.8,86.6
July_precipitation.asp.html,July,2025,daily,24,18.9,7.9,207.2,26.3,91.2,73.8,82.7,100.0,66.2,78.4,0.0,0.23,88.9,79.0,84.0,81.3,77.9,79.7,92.3,80.4,86.5,102.0,75.8,88.2
July_precipitation.asp.html,July,2025,daily,25,26.1,3.8,228.0,24.5,89.1,74.1,81.2,100.0,68.0,76.8,0.0,0.21,91.9,80.1,85.1,82.4,78.8,80.4,94.5,82.7,88.0,106.1,79.3,90.2
July_precipitation.asp.html,July,2025,daily,26,18.3,6.6,191.4,17.6,89.1,72.3,79.8,100.0,76.1,77.8,0.55,0.15,88.3,80.2,83.8,81.6,79.1,80.4,89.4,82.0,85.3,97.6,77.0,84.4
July_precipitation.asp.html,July,2025,daily,27,14.5,5.3,220.4,21.7,89.0,73.2,80.5,100.0,73.8,77.4,0.0,0.19,91.2,79.6,84.7,82.3,78.5,80.3,90.0,80.3,84.7,99.7,75.8,85.2
July_precipitation.asp.html,July,2025,daily,28,22.5,4.2,273.0,19.9,89.8,73.3,79.9,100.0,72.2,77.2,0.34,0.18,91.6,80.0,84.8,82.5,79.0,80.7,89.4,80.4,84.3,96.6,76.6,83.6
July_precipitation.asp.html,July,2025,daily,29,17.5,4.2,156.1,24.7,91.2,70.9,81.1,100.0,53.2,75.4,0.0,0.22,92.2,79.7,85.4,83.3,79.2,81.2,92.4,79.1,85.3,103.9,73.9,87.1
July_precipitation.asp.html,July,2025,daily,30,27.1,3.3,111.0,13.3,86.3,69.6,77.0,100.0,77.8,75.1,0.29,0.11,85.9,80.2,83.3,82.5,79.7,80.7,86.4,80.6,84.0,93.3,75.8,83.2
July_precipitation.asp.html,July,2025,daily,31,23.6,10.3,32.4,15.2,76.4,62.7,70.3,100.0,67.1,66.6,0.01,0.12,82.1,77.0,79.8,80.3,77.1,78.3,82.1,75.2,78.8,82.0,67.8,75.4
august_precipitation.html,August,2025,daily,1,17.0,7.0,44.7,24.1,77.4,57.6,67.8,100.0,49.3,60.6,0.0,0.19,82.5,73.2,77.6,77.2,74.6,76.0,83.0,71.0,76.7,91.8,63.4,76.0
august_precipitation.html,August,2025,daily,2,23.8,6.1,49.5,24.3,76.2,55.6,65.8,100.0,47.6,57.5,0.0,0.19,80.5,71.7,75.7,76.0,73.2,74.6,83.1,71.4,76.9,91.7,64.6,76.4
august_precipitation.html,August,2025,daily,3,13.6,4.8,48.3,26.9,77.9,51.5,66.0,100.0,47.8,58.3,0.0,0.21,82.8,69.2,75.6,75.8,71.6,73.8,85.3,70.5,77.6,96.2,62.9,78.1
august_precipitation.html,August,2025,daily,4,17.8,5.6,82.9,18.6,79.3,60.6,70.0,100.0,67.9,65.3,0.0,0.15,79.3,72.2,75.9,75.4,72.8,74.2,82.3,74.1,78.5,89.4,69.3,78.4
august_precipitation.html,August,2025,daily,5,14.4,3.6,58.6,25.2,83.7,60.3,73.0,100.0,59.0,67.0,0.0,0.21,84.9,72.1,78.1,77.5,73.0,75.1,87.8,74.4,80.8,100.7,69.0,82.5
august_precipitation.html,August,2025,daily,6,8.2,2.4,130.6,25.0,86.0,60.6,74.7,100.0,55.1,68.7,0.0,0.21,87.1,73.6,79.9,78.9,74.2,76.5,89.4,76.0,82.5,100.5,70.8,84.4
august_precipitation.html,August,2025,daily,7,16.7,5.2,169.8,19.9,88.3,69.1,77.4,100.0,66.8,73.4,0.02,0.17,85.9,76.5,80.8,79.2,75.9,77.6,88.2,78.9,83.5,98.5,75.5,84.6
august_precipitation.html,August,2025,daily,8,19.1,7.8,157.1,25.2,89.7,69.6,78.8,100.0,60.0,73.5,0.0,0.22,87.1,76.3,81.3,79.8,76.2,78.0,90.5,78.6,84.2,100.7,74.6,85.8
august_precipitation.html,August,2025,daily,9,21.2,9.4,173.2,25.7,89.3,69.8,79.2,98.6,60.0,73.5,0.0,0.22,87.4,76.9,81.7,80.3,76.7,78.5,90.7,79.4,84.7,100.4,75.2,86.2
august_precipitation.html,August,2025,daily,10,21.3,8.9,179.1,25.0,89.1,70.1,79.1,100.0,58.9,73.2,0.0,0.16,87.7,77.6,82.0,80.5,77.3,78.9,90.8,80.3,85.1,100.5,76.3,86.5
august_precipitation.html,August,2025,daily,11,14.4,5.7,193.6,20.9,89.5,69.0,78.8,100.0,59.8,73.8,0.06,0.18,87.6,77.7,82.0,80.5,77.3,78.9,89.9,80.3,84.6,98.9,76.9,85.6
august_precipitation.html,August,2025,daily,12,18.8,6.3,199.8,20.9,90.2,68.2,76.5,100.0,58.0,72.4,0.01,0.18,88.4,77.2,81.8,80.6,77.3,79.0,90.9,79.9,84.5,102.0,75.3,84.7
august_precipitation.html,August,2025,daily,13,11.8,4.2,216.0,23.7,87.2,65.4,75.5,100.0,53.0,69.8,0.0,0.2,88.6,75.9,81.8,80.9,76.8,78.9,90.2,78.3,83.9,101.1,73.0,85.1
august_precipitation.html,August,2025,daily,14,13.4,3.0,65.4,22.7,88.0,62.5,75.7,100.0,52.0,67.7,0.0,0.19,88.6,75.7,81.8,80.6,76.8,78.8,90.5,78.3,84.1,100.6,73.0,85.3
august_precipitation.html,August,2025,daily,15,14.5,6.3,167.2,24.1,92.5,67.1,80.2,100.0,56.3,73.9,0.0,0.21,90.2,77.0,83.1,81.4,77.1,79.2,92.4,79.3,85.5,103.2,75.1,87.7
august_precipitation.html,August,2025,daily,16,26.8,7.2,170.0,23.2,94.9,72.2,82.6,100.0,59.7,75.9,0.0,0.21,91.0,79.6,85.0,82.7,78.7,80.6,93.0,82.0,87.3,103.8,78.5,89.5
august_precipitation.html,August,2025,daily,17,20.3,4.4,167.9,19.1,90.5,70.1,78.8,100.0,60.0,73.9,0.31,0.17,90.0,78.6,83.7,81.9,78.4,80.4,90.0,80.2,84.9,100.6,75.3,85.2
august_precipitation.html,August,2025,daily,18,17.1,7.1,163.1,23.4,92.6,73.0,81.6,100.0,63.1,76.9,0.0,0.2,90.2,79.2,84.1,82.0,78.6,80.3,92.2,80.2,85.8,103.1,76.2,87.5
august_precipitation.html,August,2025,daily,19,39.5,6.8,201.8,20.6,85.5,69.0,77.2,100.0,72.1,73.7,1.97,0.18,87.9,77.9,82.7,81.6,78.1,80.0,86.8,78.4,82.8,93.2,73.7,81.9
august_precipitation.html,August,2025,daily,20,18.3,7.3,79.0,17.0,80.7,60.8,71.3,100.0,67.1,67.2,0.0,0.14,82.6,75.7,79.0,80.4,77.3,78.4,82.7,75.2,79.1,90.7,68.8,77.5
august_precipitation.html,August,2025,daily,21,17.3,6.7,29.4,24.7,80.3,59.6,70.4,100.0,57.1,64.3,0.0,0.19,84.3,72.8,78.0,78.0,74.8,76.5,86.6,72.2,78.9,96.1,66.0,79.2
august_precipitation.html,August,2025,daily,22,9.8,2.7,67.0,22.3,79.8,57.0,68.9,100.0,58.0,63.0,0.0,0.17,84.3,72.3,78.1,77.9,74.4,76.3,86.3,73.3,79.8,96.3,66.8,79.7
august_precipitation.html,August,2025,daily,23,16.8,5.9,246.0,15.9,82.6,58.7,69.5,100.0,59.4,64.8,0.0,0.13,81.4,73.0,76.7,77.1,74.3,75.5,83.5,74.5,78.5,89.0,62.9,77.1
august_precipitation.html,August,2025,daily,24,24.7,8.2,303.7,22.3,74.7,52.6,62.9,100.0,44.2,55.4,0.0,0.17,79.1,69.9,74.2,75.5,72.5,73.9,81.2,71.3,76.2,86.5,64.1,74.1
august_precipitation.html,August,2025,daily,25,18.7,7.0,315.4,21.2,72.0,48.0,59.5,100.0,46.1,52.2,0.0,0.15,76.5,66.9,71.6,73.7,70.6,72.3,78.9,68.8,73.9,85.2,61.2,71.9
august_precipitation.html,August,2025,daily,26,15.9,4.6,319.0,24.1,73.9,44.2,59.2,100.0,38.0,49.9,0.0,0.18,78.3,64.5,71.0,73.3,69.2,71.3,81.2,66.5,73.5,91.0,58.4,72.9
august_precipitation.html,August,2025,daily,27,14.0,3.3,235.6,21.2,77.3,44.0,62.2,100.0,40.1,52.8,0.0,0.17,78.2,64.7,71.5,72.8,69.0,71.1,80.8,67.0,74.1,89.5,59.5,73.8
august_precipitation.html,August,2025,daily,28,17.2,5.7,200.5,19.0,82.5,53.0,67.7,97.5,45.4,59.4,0.0,0.16,79.3,67.7,73.0,73.0,69.8,71.4,82.1,70.2,75.6,91.2,64.5,75.9
august_precipitation.html,August,2025,daily,29,13.5,4.2,61.5,23.1,79.1,53.1,66.6,100.0,38.1,56.0,0.0,0.18,80.9,68.3,74.0,74.0,70.3,72.1,84.3,70.9,77.1,95.0,64.7,77.7
august_precipitation.html,August,2025,daily,30,10.0,3.0,77.4,20.3,79.4,53.4,66.5,97.5,48.4,57.1,0.0,0.16,81.1,68.8,74.3,74.1,70.4,72.2,84.6,71.6,77.4,95.1,66.6,78.0
august_precipitation.html,August,2025,daily,31,16.3,4.7,64.0,22.0,77.7,52.0,64.8,99.7,41.2,54.8,0.0,0.18,80.6,68.8,74.0,73.9,70.6,72.4,83.6,71.4,77.1,94.2,65.0,76.8
september_precipitation.html,September,2025,daily,1,13.7,5.1,50.9,24.5,80.2,49.8,64.4,98.5,25.8,50.7,0.0,0.19,80.3,66.7,72.9,73.4,69.5,71.6,83.8,69.3,76.0,94.6,62.1,76.2
september_precipitation.html,September,2025,daily,2,10.3,4.2,190.2,23.6,83.0,51.4,65.9,100.0,33.6,55.3,0.0,0.19,81.6,66.9,73.6,74.1,69.3,71.7,84.7,69.6,76.7,96.5,62.8,77.3
september_precipitation.html,September,2025,daily,3,24.0,6.3,287.7,18.7,83.1,48.1,66.2,100.0,42.7,57.5,0.4,0.16,78.6,67.0,72.7,73.1,69.7,71.5,80.9,69.7,75.2,91.2,62.9,74.7
september_precipitation.html,September,2025,daily,4,16.9,5.4,265.9,22.9,69.8,45.8,57.6,100.0,46.5,50.1,0.0,0.17,76.9,65.3,70.8,72.2,68.9,70.7,78.0,64.8,71.1,86.4,55.2,68.7
september_precipitation.html,September,2025,daily,5,24.8,8.6,253.1,16.4,70.6,50.9,59.6,97.1,42.3,50.8,0.0,0.13,71.0,64.6,67.6,70.5,67.5,68.6,73.6,63.8,68.5,79.0,56.9,66.4
september_precipitation.html,September,2025,daily,6,23.8,6.9,243.0,20.8,71.3,43.4,58.0,100.0,41.5,48.5,0.0,0.16,71.6,61.8,66.7,68.1,65.8,67.1,75.3,62.4,68.9,82.2,53.8,67.6
september_precipitation.html,September,2025,daily,7,24.9,5.5,243.2,23.6,70.1,39.6,55.2,100.0,33.4,44.5,0.0,0.17,72.5,60.1,65.9,67.8,64.5,66.3,77.0,61.4,68.8,85.9,52.4,67.5
september_precipitation.html,September,2025,daily,8,13.3,3.7,90.1,23.2,73.8,38.7,57.5,100.0,31.4,44.4,0.0,0.17,74.1,59.5,66.3,67.9,63.9,66.0,78.5,61.5,69.6,89.0,53.0,69.1
september_precipitation.html,September,2025,daily,9,14.2,5.1,137.3,19.9,79.1,42.1,63.4,96.3,33.2,49.6,0.0,0.17,74.1,61.2,67.5,68.2,64.4,66.4,78.3,63.8,70.9,87.6,56.4,70.8
september_precipitation.html,September,2025,daily,10,12.0,3.1,110.5,21.3,85.7,52.7,71.7,92.2,34.4,56.0,0.0,0.14,79.2,65.0,71.8,71.2,66.3,68.5,83.1,68.0,75.3,94.8,62.6,77.3
september_precipitation.html,September,2025,daily,11,11.4,3.2,76.8,19.5,87.1,59.3,72.9,86.3,41.1,58.8,0.0,0.17,80.2,67.8,73.7,72.5,68.7,70.6,84.0,71.1,77.4,97.4,66.3,78.7
september_precipitation.html,September,2025,daily,12,13.7,5.7,133.5,19.5,88.8,56.0,72.5,91.1,36.3,58.1,0.0,0.18,79.8,67.8,73.4,72.5,69.1,70.9,83.8,71.1,77.1,94.1,65.7,78.0
september_precipitation.html,September,2025,daily,13,16.2,6.3,176.3,16.6,95.1,60.1,76.3,91.4,39.4,64.1,0.0,0.17,80.4,69.0,74.3,73.1,69.6,71.3,84.3,72.4,77.9,94.4,67.9,79.3
september_precipitation.html,September,2025,daily,14,14.8,4.4,70.4,20.7,93.8,62.3,77.8,98.8,43.2,66.8,0.0,0.19,83.6,70.8,76.7,74.8,70.9,72.8,87.7,74.2,80.5,99.6,70.0,82.7
september_precipitation.html,September,2025,daily,15,14.9,5.3,81.6,21.2,89.9,62.3,76.0,84.8,35.2,59.6,0.0,0.2,83.0,71.0,76.5,74.9,71.5,73.3,87.0,74.3,80.3,98.5,69.2,81.6
september_precipitation.html,September,2025,daily,16,19.8,5.6,67.3,20.8,88.8,56.0,74.4,92.2,33.3,57.6,0.0,0.2,82.2,70.1,75.6,74.4,71.2,72.9,86.1,73.8,79.5,97.4,68.3,80.3
september_precipitation.html,September,2025,daily,17,13.9,4.0,119.9,21.1,88.0,50.6,69.4,100.0,29.9,55.2,0.0,0.17,81.7,67.7,74.2,73.8,70.1,72.1,85.3,71.4,78.0,96.8,64.3,78.3
september_precipitation.html,September,2025,daily,18,12.4,2.8,129.4,20.9,92.2,52.0,73.2,96.3,24.6,53.5,0.0,0.18,82.3,67.6,74.5,74.0,69.8,71.9,85.9,71.3,78.2,97.8,64.7,79.2
september_precipitation.html,September,2025,daily,19,17.3,4.4,132.0,12.2,88.8,59.3,71.7,95.7,36.0,61.0,0.01,0.12,77.5,69.4,73.5,73.1,70.5,71.8,80.9,72.9,76.9,89.1,67.7,76.3
september_precipitation.html,September,2025,daily,20,17.4,3.9,134.9,11.2,85.0,58.0,70.2,100.0,43.1,63.5,0.02,0.1,77.1,68.8,72.9,72.4,70.2,71.4,79.9,71.9,75.8,89.2,66.5,75.0
september_precipitation.html,September,2025,daily,21,25.6,7.8,195.8,16.1,87.1,61.5,72.1,99.5,46.6,64.8,0.0,0.15,78.0,68.9,73.3,72.6,70.0,71.3,81.1,71.2,76.0,90.9,66.4,76.3
september_precipitation.html,September,2025,daily,22,14.7,5.8,191.9,10.1,80.9,62.4,70.1,100.0,57.5,65.1,0.0,0.09,76.1,70.3,72.8,72.2,70.6,71.4,78.9,72.7,75.5,85.0,68.7,74.5
september_precipitation.html,September,2025,daily,23,21.4,5.4,192.4,12.7,84.2,57.9,70.9,100.0,53.2,65.2,0.18,0.12,76.5,68.2,72.4,72.1,69.4,70.8,79.5,70.9,75.2,86.8,52.4,74.9
september_precipitation.html,September,2025,daily,24,17.3,7.1,65.4,8.3,78.8,60.7,69.3,100.0,54.8,64.3,0.0,0.08,74.7,69.1,71.8,71.7,70.4,70.9,76.7,71.1,73.8,80.2,64.9,71.6
september_precipitation.html,September,2025,daily,25,19.8,7.1,279.2,14.1,78.6,52.7,63.7,100.0,43.5,55.7,0.0,0.12,72.1,64.7,68.2,70.5,67.8,68.9,76.1,66.3,71.0,82.2,58.6,68.8
september_precipitation.html,September,2025,daily,26,14.8,3.1,140.8,19.5,83.5,45.0,64.9,100.0,33.9,51.4,0.0,0.16,74.8,60.5,67.4,69.2,65.3,67.4,79.8,63.1,71.1,91.2,54.2,70.9
september_precipitation.html,September,2025,daily,27,12.8,2.7,190.7,18.8,88.4,49.8,69.5,95.0,31.3,53.7,0.0,0.16,77.5,62.9,69.7,70.2,65.9,68.0,81.7,66.1,73.5,93.1,59.4,74.2
september_precipitation.html,September,2025,daily,28,11.1,2.1,216.6,18.8,91.0,51.1,72.3,98.4,27.6,54.1,0.0,0.16,78.7,64.6,71.2,71.1,67.0,69.1,82.7,68.0,74.9,93.8,61.7,75.8
september_precipitation.html,September,2025,daily,29,13.4,3.8,83.2,18.4,91.2,55.7,75.0,93.6,24.5,56.1,0.0,0.17,79.3,66.1,72.3,71.7,67.9,69.8,83.2,69.5,76.0,94.6,63.9,77.2
september_precipitation.html,September,2025,daily,30,20.4,6.6,51.3,18.4,87.5,55.7,71.7,97.6,28.4,55.8,0.0,0.18,78.0,67.2,72.1,71.4,68.6,70.1,82.0,70.6,76.0,92.5,65.2,76.4
